id,produto,quantidade,preço,data
1,Caneca de Porcelana,17,9.99,05/04/2023
2,Panela de Pressão Elétrica,10,299.90,12/04/2023
3,Grill Elétrico,5,89.90,22/04/2023
4,Chuteira,8,49.99,19/04/2023
5,Bolsa de Viagem,3,39.99,30/04/2023
6,Óculos de Sol,15,29.99,04/05/2023
7,Colchonete,6,19.99,08/05/2023
8,Ferro de Passar Roupa,20,34.99,15/05/2023
9,Fone de Ouvido Bluetooth,12,99.90,25/05/2023
10,Smartwatch,4,149.90,29/05/2023
11,Kit de Churrasco,7,59.90,06/06/2023
12,Barbeador Elétrico,22,79.90,12/06/2023
13,Lancheira Térmica,9,29.99,18/06/2023
14,Mini Ventilador Portátil,18,24.99,22/06/2023
15,Relógio Despertador Digital,11,14.99,30/06/2023
16,Escova de Dentes Elétrica,13,19.99,08/07/2023
17,Carregador Portátil,25,39.90,15/07/2023
18,Lanterna LED Recarregável,30,12.99,21/07/2023
19,Faca de Cozinha,6,9.99,28/07/2023
20,Kit de Ferramentas,4,49.90,03/08/2023
21,Maleta de Maquiagem,14,39.99,09/08/2023
22,Kit de Pintura,9,19.99,17/08/2023
23,Mouse Sem Fio,20,19.99,25/08/2023
24,Teclado Mecânico RGB,7,89.90,01/09/2023
25,Cadeira Gamer,3,199.90,07/09/2023
26,Monitor LED 24'',6,199.99,15/09/2023
27,Impressora Multifuncional,8,149.90,23/09/2023
28,Mousepad Gamer,11,14.99,01/10/2023
29,Carregador Wireless,16,29.99,09/10/2023
30,Fone de Ouvido Bluetooth,5,79.90,17/10/2023
31,Cabo HDMI 2.0,22,9.99,25/10/2023
32,Kit de Cuidados para Barba,7,34.99,02/11/2023
33,Balança Digital de Cozinha,18,14.99,10/11/2023
34,Chapinha,10,39.99,18/11/2023
35,Frigideira Antiaderente,14,29.90,26/11/2023
36,Pipoqueira Elétrica,7,39.99,04/12/2023
52,Tablet Android,3,199.00,08/12/2023
53,Mini Caixa de Som Bluetooth,6,39.90,16/12/2023
54,Relógio de Parede Decorativo,9,19.99,24/12/2023
55,Kit de Ferramentas para Eletrônica,4,29.99,31/12/2023
56,Churrasqueira Elétrica,10,89.90,08/01/2024
57,Kit Manicure e Pedicure,15,19.99,16/01/2024
58,Caixa de Som Portátil,8,49.90,24/01/2024
59,Aspirador de Pó Vertical,12,79.99,01/02/2024
60,Escova Rotativa,5,34.99,09/02/2024
61,Panela de Pressão,9,49.90,17/02/2024
62,Sanduicheira Elétrica,20,29.99,25/02/2024
63,Mini Ventilador USB,6,12.99,05/03/2024
64,Balança Digital de Banheiro,7,29.90,13/03/2024
65,Relógio Inteligente,10,199.90,21/03/2024
66,Ferro de Passar Roupa a Vapor,11,59.90,29/03/2024
67,Espremedor de Frutas,3,24.99,06/04/2024
68,Torradeira,14,19.99,14/04/2024
70,Chuveiro Elétrico,16,129.90,22/04/2024
71,Caixa de Som JBL,9,99.90,30/04/2024
76,Kit para Churrasco,8,59.90,08/05/2024
77,Conjunto de Facas,4,39.99,16/05/2024
78,Prancha Alisadora,6,29.99,24/05/2024
79,Cadeira de Praia,17,24.90,01/06/2024
80,Bicicleta Ergométrica,10,299.90,09/06/2024
81,Balança Digital de Cozinha,5,19.90,17/06/2024
82,Batedeira Planetária,22,149.90,25/06/2024
83,Mini Ventilador de Mesa,7,19.99,03/07/2024
85,Fritadeira Elétrica,8,199.90,11/07/2024
86,Caixa de Ferramentas Completa,3,129.90,19/07/2024
88,Notebook,10,999.00,27/07/2024
